"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Outstanding amount of loans and securitisations","2016M04","Loans to non-financial corporations, including securitisations","Euro Million","45692"
"Outstanding amount of loans and securitisations","2016M05","Loans to households, including securitisations","Euro Million","124979"
"Outstanding amount of loans and securitisations","2016M05","Loans to non-financial corporations, including securitisations","Euro Million","45777"
"Outstanding amount of loans and securitisations","2016M06","Loans to households, including securitisations","Euro Million","124903"
"Outstanding amount of loans and securitisations","2016M06","Loans to non-financial corporations, including securitisations","Euro Million","44886"
"Outstanding amount of loans and securitisations","2016M07","Loans to households, including securitisations","Euro Million","124650"
"Outstanding amount of loans and securitisations","2016M07","Loans to non-financial corporations, including securitisations","Euro Million","44706"
"Outstanding amount of loans and securitisations","2016M08","Loans to households, including securitisations","Euro Million","124329"
"Outstanding amount of loans and securitisations","2016M08","Loans to non-financial corporations, including securitisations","Euro Million","44181"
"Outstanding amount of loans and securitisations","2016M09","Loans to households, including securitisations","Euro Million","124123"
"Outstanding amount of loans and securitisations","2016M09","Loans to non-financial corporations, including securitisations","Euro Million","43878"
"Outstanding amount of loans and securitisations","2016M10","Loans to households, including securitisations","Euro Million","123737"
"Outstanding amount of loans and securitisations","2016M10","Loans to non-financial corporations, including securitisations","Euro Million","43690"
"Outstanding amount of loans and securitisations","2016M11","Loans to households, including securitisations","Euro Million","123496"
"Outstanding amount of loans and securitisations","2016M11","Loans to non-financial corporations, including securitisations","Euro Million","43847"
"Outstanding amount of loans and securitisations","2016M12","Loans to households, including securitisations","Euro Million","122114"
"Outstanding amount of loans and securitisations","2016M12","Loans to non-financial corporations, including securitisations","Euro Million","42346"
"Outstanding amount of loans and securitisations","2017M01","Loans to households, including securitisations","Euro Million","121785"
"Outstanding amount of loans and securitisations","2017M01","Loans to non-financial corporations, including securitisations","Euro Million","41932"
"Outstanding amount of loans and securitisations","2017M02","Loans to households, including securitisations","Euro Million","121479"
"Outstanding amount of loans and securitisations","2017M02","Loans to non-financial corporations, including securitisations","Euro Million","41641"
"Outstanding amount of loans and securitisations","2017M03","Loans to households, including securitisations","Euro Million","121236"
"Outstanding amount of loans and securitisations","2017M03","Loans to non-financial corporations, including securitisations","Euro Million","41815"
"Outstanding amount of loans and securitisations","2017M04","Loans to households, including securitisations","Euro Million","120775"
"Outstanding amount of loans and securitisations","2017M04","Loans to non-financial corporations, including securitisations","Euro Million","42108"
"Outstanding amount of loans and securitisations","2017M05","Loans to households, including securitisations","Euro Million","120493"
"Outstanding amount of loans and securitisations","2017M05","Loans to non-financial corporations, including securitisations","Euro Million","41806"
"Outstanding amount of loans and securitisations","2017M06","Loans to households, including securitisations","Euro Million","120492"
"Outstanding amount of loans and securitisations","2017M06","Loans to non-financial corporations, including securitisations","Euro Million","41812"
"Outstanding amount of loans and securitisations","2017M07","Loans to households, including securitisations","Euro Million","120405"
"Outstanding amount of loans and securitisations","2017M07","Loans to non-financial corporations, including securitisations","Euro Million","40952"
"Outstanding amount of loans and securitisations","2017M08","Loans to households, including securitisations","Euro Million","120241"
"Outstanding amount of loans and securitisations","2017M08","Loans to non-financial corporations, including securitisations","Euro Million","40799"
"Outstanding amount of loans and securitisations","2017M09","Loans to households, including securitisations","Euro Million","120416"
"Outstanding amount of loans and securitisations","2017M09","Loans to non-financial corporations, including securitisations","Euro Million","40687"
"Outstanding amount of loans and securitisations","2017M10","Loans to households, including securitisations","Euro Million","120222"
"Outstanding amount of loans and securitisations","2017M10","Loans to non-financial corporations, including securitisations","Euro Million","40977"
"Outstanding amount of loans and securitisations","2017M11","Loans to households, including securitisations","Euro Million","119506"
"Outstanding amount of loans and securitisations","2017M11","Loans to non-financial corporations, including securitisations","Euro Million","41496"
"Outstanding amount of loans and securitisations","2017M12","Loans to households, including securitisations","Euro Million","117585"
"Outstanding amount of loans and securitisations","2017M12","Loans to non-financial corporations, including securitisations","Euro Million","41255"
"Outstanding amount of loans and securitisations","2018M01","Loans to households, including securitisations","Euro Million","117266"
"Outstanding amount of loans and securitisations","2018M01","Loans to non-financial corporations, including securitisations","Euro Million","41055"
"Outstanding amount of loans and securitisations","2018M02","Loans to households, including securitisations","Euro Million","116991"
"Outstanding amount of loans and securitisations","2018M02","Loans to non-financial corporations, including securitisations","Euro Million","40709"
"Outstanding amount of loans and securitisations","2018M03","Loans to households, including securitisations","Euro Million","116927"
"Outstanding amount of loans and securitisations","2018M03","Loans to non-financial corporations, including securitisations","Euro Million","41069"
"Outstanding amount of loans and securitisations","2018M04","Loans to households, including securitisations","Euro Million","116741"
"Outstanding amount of loans and securitisations","2018M04","Loans to non-financial corporations, including securitisations","Euro Million","41124"
"Outstanding amount of loans and securitisations","2018M05","Loans to households, including securitisations","Euro Million","116126"
"Outstanding amount of loans and securitisations","2018M05","Loans to non-financial corporations, including securitisations","Euro Million","39744"
"Outstanding amount of loans and securitisations","2018M06","Loans to households, including securitisations","Euro Million","116276"
"Outstanding amount of loans and securitisations","2018M06","Loans to non-financial corporations, including securitisations","Euro Million","40478"
"Outstanding amount of loans and securitisations","2018M07","Loans to households, including securitisations","Euro Million","116273"
"Outstanding amount of loans and securitisations","2018M07","Loans to non-financial corporations, including securitisations","Euro Million","40564"
"Outstanding amount of loans and securitisations","2018M08","Loans to households, including securitisations","Euro Million","116067"
"Outstanding amount of loans and securitisations","2018M08","Loans to non-financial corporations, including securitisations","Euro Million","40733"
"Outstanding amount of loans and securitisations","2018M09","Loans to households, including securitisations","Euro Million","116136"
"Outstanding amount of loans and securitisations","2018M09","Loans to non-financial corporations, including securitisations","Euro Million","41049"
"Outstanding amount of loans and securitisations","2018M10","Loans to households, including securitisations","Euro Million","116114"
"Outstanding amount of loans and securitisations","2018M10","Loans to non-financial corporations, including securitisations","Euro Million","40984"
"Outstanding amount of loans and securitisations","2018M11","Loans to households, including securitisations","Euro Million","113526"
"Outstanding amount of loans and securitisations","2018M11","Loans to non-financial corporations, including securitisations","Euro Million","41127"
"Outstanding amount of loans and securitisations","2018M12","Loans to households, including securitisations","Euro Million","113182"
"Outstanding amount of loans and securitisations","2018M12","Loans to non-financial corporations, including securitisations","Euro Million","40885"
"Outstanding amount of loans and securitisations","2019M01","Loans to households, including securitisations","Euro Million","112972"
"Outstanding amount of loans and securitisations","2019M01","Loans to non-financial corporations, including securitisations","Euro Million","40778"
"Outstanding amount of loans and securitisations","2019M02","Loans to households, including securitisations","Euro Million","110754"
"Outstanding amount of loans and securitisations","2019M02","Loans to non-financial corporations, including securitisations","Euro Million","40883"
"Outstanding amount of loans and securitisations","2019M03","Loans to households, including securitisations","Euro Million","110322"
"Outstanding amount of loans and securitisations","2019M03","Loans to non-financial corporations, including securitisations","Euro Million","40223"
"Outstanding amount of loans and securitisations","2019M04","Loans to households, including securitisations","Euro Million","110262"
"Outstanding amount of loans and securitisations","2019M04","Loans to non-financial corporations, including securitisations","Euro Million","40070"
"Outstanding amount of loans and securitisations","2019M05","Loans to households, including securitisations","Euro Million","109272"
"Outstanding amount of loans and securitisations","2019M05","Loans to non-financial corporations, including securitisations","Euro Million","40911"
"Outstanding amount of loans and securitisations","2019M06","Loans to households, including securitisations","Euro Million","108824"
"Outstanding amount of loans and securitisations","2019M06","Loans to non-financial corporations, including securitisations","Euro Million","41087"
"Outstanding amount of loans and securitisations","2019M07","Loans to households, including securitisations","Euro Million","108843"
"Outstanding amount of loans and securitisations","2019M07","Loans to non-financial corporations, including securitisations","Euro Million","40691"
"Outstanding amount of loans and securitisations","2019M08","Loans to households, including securitisations","Euro Million","108679"
"Outstanding amount of loans and securitisations","2019M08","Loans to non-financial corporations, including securitisations","Euro Million","40298"
"Outstanding amount of loans and securitisations","2019M09","Loans to households, including securitisations","Euro Million","109001"
"Outstanding amount of loans and securitisations","2019M09","Loans to non-financial corporations, including securitisations","Euro Million","40342"
"Outstanding amount of loans and securitisations","2019M10","Loans to households, including securitisations","Euro Million","108666"
"Outstanding amount of loans and securitisations","2019M10","Loans to non-financial corporations, including securitisations","Euro Million","39820"
"Outstanding amount of loans and securitisations","2019M11","Loans to households, including securitisations","Euro Million","108645"
"Outstanding amount of loans and securitisations","2019M11","Loans to non-financial corporations, including securitisations","Euro Million","39723"
"Outstanding amount of loans and securitisations","2019M12","Loans to households, including securitisations","Euro Million","108498"
"Outstanding amount of loans and securitisations","2019M12","Loans to non-financial corporations, including securitisations","Euro Million","38570"
"Outstanding amount of loans and securitisations","2020M01","Loans to households, including securitisations","Euro Million","108181"
"Outstanding amount of loans and securitisations","2020M01","Loans to non-financial corporations, including securitisations","Euro Million","38117"
"Outstanding amount of loans and securitisations","2020M02","Loans to households, including securitisations","Euro Million","107142"
"Outstanding amount of loans and securitisations","2020M02","Loans to non-financial corporations, including securitisations","Euro Million","37900"
"Outstanding amount of loans and securitisations","2020M03","Loans to households, including securitisations","Euro Million","106031"
"Outstanding amount of loans and securitisations","2020M03","Loans to non-financial corporations, including securitisations","Euro Million","38235"
"Outstanding amount of loans and securitisations","2020M04","Loans to households, including securitisations","Euro Million","105440"
"Outstanding amount of loans and securitisations","2020M04","Loans to non-financial corporations, including securitisations","Euro Million","39832"
"Outstanding amount of loans and securitisations","2020M05","Loans to households, including securitisations","Euro Million","105004"
"Outstanding amount of loans and securitisations","2020M05","Loans to non-financial corporations, including securitisations","Euro Million","39511"
"Outstanding amount of loans and securitisations","2020M06","Loans to households, including securitisations","Euro Million","105070"
"Outstanding amount of loans and securitisations","2020M06","Loans to non-financial corporations, including securitisations","Euro Million","38900"
"Outstanding amount of loans and securitisations","2020M07","Loans to households, including securitisations","Euro Million","104601"
"Outstanding amount of loans and securitisations","2020M07","Loans to non-financial corporations, including securitisations","Euro Million","38087"
"Outstanding amount of loans and securitisations","2020M08","Loans to households, including securitisations","Euro Million","104422"
"Outstanding amount of loans and securitisations","2020M08","Loans to non-financial corporations, including securitisations","Euro Million","38130"
"Outstanding amount of loans and securitisations","2020M09","Loans to households, including securitisations","Euro Million","104519"
"Outstanding amount of loans and securitisations","2020M09","Loans to non-financial corporations, including securitisations","Euro Million","37286"
"Outstanding amount of loans and securitisations","2020M10","Loans to households, including securitisations","Euro Million","104480"
"Outstanding amount of loans and securitisations","2020M10","Loans to non-financial corporations, including securitisations","Euro Million","36943"
"Outstanding amount of loans and securitisations","2020M11","Loans to households, including securitisations","Euro Million","104198"
"Outstanding amount of loans and securitisations","2020M11","Loans to non-financial corporations, including securitisations","Euro Million","37063"
"Outstanding amount of loans and securitisations","2020M12","Loans to households, including securitisations","Euro Million","106264"
"Outstanding amount of loans and securitisations","2020M12","Loans to non-financial corporations, including securitisations","Euro Million","33977"
"Outstanding amount of loans and securitisations","2021M01","Loans to households, including securitisations","Euro Million","108791"
"Outstanding amount of loans and securitisations","2021M01","Loans to non-financial corporations, including securitisations","Euro Million","30674"
"Outstanding amount of loans and securitisations","2021M02","Loans to households, including securitisations","Euro Million","107884"
"Outstanding amount of loans and securitisations","2021M02","Loans to non-financial corporations, including securitisations","Euro Million","30802"
"Outstanding amount of loans and securitisations","2021M03","Loans to households, including securitisations","Euro Million","106625"
"Outstanding amount of loans and securitisations","2021M03","Loans to non-financial corporations, including securitisations","Euro Million","30629"
"Outstanding amount of loans and securitisations","2021M04","Loans to households, including securitisations","Euro Million","106062"
"Outstanding amount of loans and securitisations","2021M04","Loans to non-financial corporations, including securitisations","Euro Million","30771"
"Outstanding amount of loans and securitisations","2021M05","Loans to households, including securitisations","Euro Million","105735"
"Outstanding amount of loans and securitisations","2021M05","Loans to non-financial corporations, including securitisations","Euro Million","31026"
"Outstanding amount of loans and securitisations","2021M06","Loans to households, including securitisations","Euro Million","105834"
"Outstanding amount of loans and securitisations","2021M06","Loans to non-financial corporations, including securitisations","Euro Million","31033"
"Outstanding amount of loans and securitisations","2021M07","Loans to households, including securitisations","Euro Million","105713"
"Outstanding amount of loans and securitisations","2021M07","Loans to non-financial corporations, including securitisations","Euro Million","30897"
"Outstanding amount of loans and securitisations","2021M08","Loans to households, including securitisations","Euro Million","105587"
"Outstanding amount of loans and securitisations","2021M08","Loans to non-financial corporations, including securitisations","Euro Million","30649"
"Outstanding amount of loans and securitisations","2021M09","Loans to households, including securitisations","Euro Million","105656"
"Outstanding amount of loans and securitisations","2021M09","Loans to non-financial corporations, including securitisations","Euro Million","31058"
"Outstanding amount of loans and securitisations","2021M10","Loans to households, including securitisations","Euro Million","105246"
"Outstanding amount of loans and securitisations","2021M10","Loans to non-financial corporations, including securitisations","Euro Million","30724"
"Outstanding amount of loans and securitisations","2021M11","Loans to households, including securitisations","Euro Million","105255"
"Outstanding amount of loans and securitisations","2021M11","Loans to non-financial corporations, including securitisations","Euro Million","30871"
"Outstanding amount of loans and securitisations","2021M12","Loans to households, including securitisations","Euro Million","105261"
"Outstanding amount of loans and securitisations","2021M12","Loans to non-financial corporations, including securitisations","Euro Million","30507"
"Outstanding amount of loans and securitisations","2022M01","Loans to households, including securitisations","Euro Million","104853"
"Outstanding amount of loans and securitisations","2022M01","Loans to non-financial corporations, including securitisations","Euro Million","30939"
"Outstanding amount of loans and securitisations","2022M02","Loans to households, including securitisations","Euro Million","103563"
"Outstanding amount of loans and securitisations","2022M02","Loans to non-financial corporations, including securitisations","Euro Million","30909"
"Outstanding amount of loans and securitisations","2022M03","Loans to households, including securitisations","Euro Million","103078"
"Outstanding amount of loans and securitisations","2022M03","Loans to non-financial corporations, including securitisations","Euro Million","31431"
"Outstanding amount of loans and securitisations","2022M04","Loans to households, including securitisations","Euro Million","102823"
"Outstanding amount of loans and securitisations","2022M04","Loans to non-financial corporations, including securitisations","Euro Million","31990"
"Outstanding amount of loans and securitisations","2022M05","Loans to households, including securitisations","Euro Million","102658"
"Outstanding amount of loans and securitisations","2022M05","Loans to non-financial corporations, including securitisations","Euro Million","31976"
"Outstanding amount of loans and securitisations","2022M06","Loans to households, including securitisations","Euro Million","102009"
"Outstanding amount of loans and securitisations","2022M06","Loans to non-financial corporations, including securitisations","Euro Million","32312"
"Outstanding amount of loans and securitisations","2022M07","Loans to households, including securitisations","Euro Million","101809"
"Outstanding amount of loans and securitisations","2022M07","Loans to non-financial corporations, including securitisations","Euro Million","32501"
"Outstanding amount of loans and securitisations","2022M08","Loans to households, including securitisations","Euro Million","101497"
"Outstanding amount of loans and securitisations","2022M08","Loans to non-financial corporations, including securitisations","Euro Million","32763"
"Outstanding amount of loans and securitisations","2022M09","Loans to households, including securitisations","Euro Million","101668"
"Outstanding amount of loans and securitisations","2022M09","Loans to non-financial corporations, including securitisations","Euro Million","33027"
"Outstanding amount of loans and securitisations","2022M10","Loans to households, including securitisations","Euro Million","101651"
"Outstanding amount of loans and securitisations","2022M10","Loans to non-financial corporations, including securitisations","Euro Million","33123"
"Outstanding amount of loans and securitisations","2022M11","Loans to households, including securitisations","Euro Million","101282"
"Outstanding amount of loans and securitisations","2022M11","Loans to non-financial corporations, including securitisations","Euro Million","32727"
"Outstanding amount of loans and securitisations","2022M12","Loans to households, including securitisations","Euro Million","101447"
"Outstanding amount of loans and securitisations","2022M12","Loans to non-financial corporations, including securitisations","Euro Million","31708"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M01","Loans to households, including securitisations","%",""
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M01","Loans to non-financial corporations, including securitisations","%",""
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M02","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M02","Loans to non-financial corporations, including securitisations","%","1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to non-financial corporations, including securitisations","%","1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to households, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to non-financial corporations, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to households, including securitisations","%","1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to non-financial corporations, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to households, including securitisations","%","0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to non-financial corporations, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to households, including securitisations","%","3.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to non-financial corporations, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to households, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to non-financial corporations, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to households, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to non-financial corporations, including securitisations","%","0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to households, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to non-financial corporations, including securitisations","%","1.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to households, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to non-financial corporations, including securitisations","%","3.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to households, including securitisations","%","1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to non-financial corporations, including securitisations","%","0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to households, including securitisations","%","1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to non-financial corporations, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to households, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to non-financial corporations, including securitisations","%","4.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to households, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to non-financial corporations, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to households, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to non-financial corporations, including securitisations","%","3.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to households, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to non-financial corporations, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to households, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to non-financial corporations, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to households, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to non-financial corporations, including securitisations","%","0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to households, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to non-financial corporations, including securitisations","%","2.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to households, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to non-financial corporations, including securitisations","%","1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to households, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to non-financial corporations, including securitisations","%","3.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to households, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to non-financial corporations, including securitisations","%","3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to households, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to non-financial corporations, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to non-financial corporations, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to households, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to non-financial corporations, including securitisations","%","3.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to households, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to non-financial corporations, including securitisations","%","1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to households, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to non-financial corporations, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to households, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to non-financial corporations, including securitisations","%","3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to households, including securitisations","%","2.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to non-financial corporations, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to households, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to non-financial corporations, including securitisations","%","2.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to households, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to non-financial corporations, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to households, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to non-financial corporations, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to households, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to non-financial corporations, including securitisations","%","5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to households, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to non-financial corporations, including securitisations","%","1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to households, including securitisations","%","1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to non-financial corporations, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to households, including securitisations","%","2.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to non-financial corporations, including securitisations","%","1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to households, including securitisations","%","1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to non-financial corporations, including securitisations","%","4.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to households, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to non-financial corporations, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to households, including securitisations","%","2.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to non-financial corporations, including securitisations","%","3.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to households, including securitisations","%","2.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to non-financial corporations, including securitisations","%","3.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to households, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to non-financial corporations, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to households, including securitisations","%","1.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to non-financial corporations, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to households, including securitisations","%","1.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to non-financial corporations, including securitisations","%","2.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to households, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to non-financial corporations, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to non-financial corporations, including securitisations","%","3.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to households, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to non-financial corporations, including securitisations","%","2.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to households, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to non-financial corporations, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to households, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to non-financial corporations, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to households, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to non-financial corporations, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to households, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to non-financial corporations, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to households, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to non-financial corporations, including securitisations","%","2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to households, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to non-financial corporations, including securitisations","%","2.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to households, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to non-financial corporations, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to households, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to non-financial corporations, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to households, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to non-financial corporations, including securitisations","%","2.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to households, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to non-financial corporations, including securitisations","%","1.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to households, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to non-financial corporations, including securitisations","%","0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to households, including securitisations","%","1.1"
